tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"Анкерная гр | 700 | 105 | 490 | 245 | 2 | 3 | 600 | 120 | 180 | 180 | 120 | 360 | 120 | 2 | 2","120 | 180 | 180 | 120","","No text found"
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"ая группа А1 | Риски разбивочных | осей | 700 | 490 | 105 | 45 | 245 | 2 | 3 | 1 | 5","45 | 245","","No text found"
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"3д1 | 18° | 18° | 15° | 15° | 1 | 5","","","No text found"
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"","","",""
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"3д2 | Раззенко | 15° 15° | по 1","","","No text found"
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"ЗЕНКОВАННОЕ ОТВ. | 1 | Ø1300 | Ø1400 | Ø1600","","","No text found"
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"Спецификация на | Марка | Поз. | Наименова | изделия | 1 | Болт 1.1 М30x900 09Г2С-6 Г | А1 | 2 | Уголок | 50x5 ГОСТ 850 | С245 ГОСТ 2777 | 3 | Уголок | 50x5 ГОСТ 850 | С245 ГОСТ 2777 | 4 | Болт 1.1. М20x600 09Г2С-6 Г | 3д1 | 5 | Лист 20x1450 | ГОСТ 1990 | С245 ГОСТ 27","","",""
"page01_tile0007_x06285_y00000.png",6285,0,qwen-vl-ocr,"на А1, 3д1, 3д2, 3д3 | енование | Кол. | Масса 1 дет. | Масса изделия | Кол. | КГ | КГ","","",""
"page01_tile0009_x00000_y00900.png",0,900,qwen-vl-ocr,"2 2 | 6 | Разрез | 200 | 1 | 3 | 2 | 3","","","No text found"
"page01_tile0010_x00900_y00900.png",900,900,qwen-vl-ocr,"1 | 6 шт. | рез 3-3 | 1450 | 1","400 | 1000 | 300 | 300 | 3","","No text found"
"page01_tile0011_x01800_y00900.png",1800,900,qwen-vl-ocr,"1 | Ø1450 | Ø1350 | Ø1150 | Ø950 | Ø850 | 6 | war 15° | 150 150 | F","","","No text found"
"page01_tile0012_x02700_y00900.png",2700,900,qwen-vl-ocr,"150 | 4 | ОТВ. Ø22 | шаг 18° | Раззенкованное отв.","","","No text found"
"page01_tile0013_x03600_y00900.png",3600,900,qwen-vl-ocr,"6 | шаг 15° | 7 | 150 | Ø1800","","","No text found"
"page01_tile0014_x04500_y00900.png",4500,900,qwen-vl-ocr,"150 150 | 4 | OTB. Ø22 | шаг 15° | Ø1900 | Ø1800 | Ø1600","","","No text found"
"page01_tile0015_x05400_y00900.png",5400,900,qwen-vl-ocr,"3д1 5 Лист 20x1450 ГОСТ 1990 | 6 14 - A500C | 3д2 4 Болт 1.1. M20x600 09Г2С-6 Г | 7 Лист 10x1900 ГОСТ 1990 | 6 14 - A500C | 3д3 8 Лист 300x12 ГОСТ 1990 | 9 14 - A500C","","","No text found"
"page01_tile0016_x06285_y00900.png",6285,900,qwen-vl-ocr,"OCT 19903-2015 | 5 ГОСТ 27772-2021 | L=1450 | 1 | 330,09 | 386,60 | c | L= 350 | 48 | 0,42 | 9Г2C-6 ГОСТ 24379.1-2012 | 24 | 1,81 | 347,13 | OCT 19903-2015 | 5 ГОСТ 27772-2021 | L=1900 | 1 | 283,39 | c | L= 350 | 48 | 0,42 | OCT 19903-2015 | 5 ГОСТ 27772-2021 | L=300 | 1 | 8,48 | 10,17 | c | L= 350 | 4 | 0,42","","",""
"page01_tile0018_x00000_y01800.png",0,1800,qwen-vl-ocr,"Взам. инв. № | НОР 2024 | ГОСТ 5264-80 Т1","105 | 245 | 700","",""
