tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"A | 5700 | 1 | 00","","",""
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"БФМ1 | 3660 | 280 | 3100","","","No text found"
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"","","",""
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"A | 5700 | 280 | 3","","",""
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"БФм2 | 4400 | 280","","",""
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"280 | 3 | 5 | 900 | 300","","",""
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"БФМЗ | 280 | 3800","","",""
"page01_tile0007_x06300_y00000.png",6300,0,qwen-vl-ocr,"","","",""
"page01_tile0008_x07200_y00000.png",7200,0,qwen-vl-ocr,"Спецификация фу | Поз. Обозначение | 1* ГОСТ 34028-2016 | 2 ГОСТ 34028-2016","","","No text found"
"page01_tile0009_x08100_y00000.png",8100,0,qwen-vl-ocr,"фундаментных балок БФм | Наименование | БФм1 | Детали | 20 - A500C L= 4300 | 12 - A500C L= 3460","","","No text found"
"page01_tile0010_x08810_y00000.png",8810,0,qwen-vl-ocr,"ток БФМ1, БФМ2, БФМЗ | ание | Кол | Масса | ед., кг | Примеч. | L= 4300 | 6 | 10,61 | L= 3460 | 4 | 3,07","","","No text found"
"page01_tile0011_x00000_y00900.png",0,900,qwen-vl-ocr,"Анодно-мо | отделени | 300 | 1 | 100","","",""
"page01_tile0012_x00900_y00900.png",900,900,qwen-vl-ocr,"780 | 2500 | НО-МОНТАЖНОЕ | ПЕНИЕ (АМО) | 39 | Разрез | 100 | 100 | 3660","","",""
"page01_tile0013_x01800_y00900.png",1800,900,qwen-vl-ocr,"380 | 1 | 1 | 3 1-1 | 2 | 100 | 100","","","No text found"
"page01_tile0014_x02700_y00900.png",2700,900,qwen-vl-ocr,"Разрез | 3 | 300 | 820 | 1","","",""
"page01_tile0015_x03600_y00900.png",3600,900,qwen-vl-ocr,"4960 | 6000 | 22 | 2 | e3 2-2","","",""
"page01_tile0016_x04500_y00900.png",4500,900,qwen-vl-ocr,"3 | 5 | 220 | 2 | 900 | 39 | 100 | 100","","","No text found"
"page01_tile0017_x05400_y00900.png",5400,900,qwen-vl-ocr,"4460 | Разрез 5-5 | 4460 | 00","","","No text found"
"page01_tile0018_x06300_y00900.png",6300,900,qwen-vl-ocr,"1120 | 5 | A | 6 | 100 | 100","","","No text found"
"page01_tile0019_x07200_y00900.png",7200,900,qwen-vl-ocr,"2 ГОСТ 34028-2016 | 3* ГОСТ 5781-82 | 4* ГОСТ 5781-82 | 5* ГОСТ 34028-2016 | 6 ГОСТ 34028-2016 | 7 ГОСТ 34028-2016 | 8 ГОСТ 34028-2016 | 18* ГОСТ 34028-2016 | ГОСТ 26633-2015","","","No text found"
"page01_tile0020_x08100_y00900.png",8100,900,qwen-vl-ocr,"12 - A500C L= 3460 | 8 - A240 L= 1380 | 8 - A240 L= 370 | 12 - A500C L= 1220 | 12 - A500C L= 3610 | 12 - A500C L= 1650 | 12 - A500C L= 1150 | 12 - A500C L= 2920 | Материалы | Бетон В25, W6, F150 M³ | Бетон В7.5 M³","","",""
"page01_tile0021_x08810_y00900.png",8810,900,qwen-vl-ocr,"L= 3460 4 3,07 | L= 1380 23 0,54 | L= 370 31 0,15 | L= 1220 24 1,08 | L= 3610 10 3,21 | L= 1650 36 1,47 | L= 1150 12 1,02 | L= 2920 10 2,59 | bl | M³ 1,78 | M³ 0,16","3460 | 1380 | 370 | 1220 | 3610 | 1650 | 1150 | 2920","",""
