tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"23 | 10 u","","",""
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"БФМ16 | 1610 | 100 | 150 | 120 | 110 | 50 | 100 130 | 4x200=800 | 220 | 50 | 9,10,11 | 40 | 13 | 23 | 10 шт.","1610 | 100 | 150 | 120 | 110 | 50 | 4x200=800 | 220 | 50 | 9,10,11 | 40","",""
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"13 | 14 | 0 | B | A | 0 | 700 | 40 | 40","","",""
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"Разрез 1-1 | 5 | шаг 200 | 40 | 40 | 280 | 280","","","No text found"
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"0,000 | 0,000 | 280","0,000 | 0,000","",""
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"Разрез 2-2 | 1 | 50 120 110 100 150 100 130 1610 4x200=800 | 280","1610 | 4x200=800","",""
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"Вед | Поз. | 1 | 11 | 10 шт. | = 800 | 50 | 23 | 10 шт.","","",""
"page01_tile0007_x06300_y00000.png",6300,0,qwen-vl-ocr,"едомость деталей | Эскиз | 4330 | 240 | 240","","","No text found"
"page01_tile0008_x07200_y00000.png",7200,0,qwen-vl-ocr,"Спецификация | Поз. | Обозначение","","","No text found"
"page01_tile0009_x08100_y00000.png",8100,0,qwen-vl-ocr,"я фундаментных балок Б | Наименование | БФМ16 | Детали | 16 - A500C | L= 4810 | 12 - A500C | L= 4210","","","No text found"
"page01_tile0010_x08849_y00000.png",8849,0,qwen-vl-ocr,"алок БФм16, БФм17 | ние | Кол. | Масса | ед., кг | Примеч. | L= 4810 | 5 | 7,59 | L= 4210 | 4 | 3,74","","","No text found"
"page01_tile0011_x00000_y00900.png",0,900,qwen-vl-ocr,"5x200=1000 | 20 | 50 | 23 | 5 шт. | 175 | 130","2","","No text found"
"page01_tile0012_x00900_y00900.png",900,900,qwen-vl-ocr,"23 | 10 шт. | 9,10,11 | 40 | 3 | 7 | 6 | no1","23 | 9,10,11","",""
"page01_tile0013_x01800_y00900.png",1800,900,qwen-vl-ocr,"40 | 7 | 4,5 | 40 | 7 | 2 | 4 | 10 | 40 | 2 | 40 | 3","40 | 7","","No text found"
"page01_tile0014_x02700_y00900.png",2700,900,qwen-vl-ocr,"8 | 10 шт. | 4 | шаг 400 | в шахм. | порядке | 6 | 50 | 280 | 250 | 1200 | 1800 | 1 | 2 шт. | 2 | 4 шт. | 1 | 3 шт.","150 | 150 | 280 | 250 | 500","",""
"page01_tile0015_x03600_y00900.png",3600,900,qwen-vl-ocr,"1800 | 1200 | 1700 | 500 | 40 | 40 | 250 | 280 | 280 | No text found","-1,200 | -1,200 | -1,700 | -1,700","",""
"page01_tile0016_x04500_y00900.png",4500,900,qwen-vl-ocr,"280 | 280 | 280 | 250 | 330 | 1030 | 40 | 50 | 40 | 3,4","180 | 180","","No text found"
"page01_tile0017_x05400_y00900.png",5400,900,qwen-vl-ocr,"6 | 7 | 40 | 3 | 4 | 5","","",""
"page01_tile0018_x06300_y00900.png",6300,900,qwen-vl-ocr,"270 | 420 | 195 | 495 | 75 | 75 | 220 | 220 | 500 | 500","","","No text found"
"page01_tile0019_x07200_y00900.png",7200,900,qwen-vl-ocr,"2 ГОСТ 34028-2016 | 3* ГОСТ 5781-82 | 4* ГОСТ 5781-82 | 5* ГОСТ 34028-2016 | 6 ГОСТ 34028-2016 | 7 ГОСТ 34028-2016 | 8 ГОСТ 34028-2016 | 9* ГОСТ 34028-2016 | 10 ГОСТ 34028-2016","","","No text found"
"page01_tile0020_x08100_y00900.png",8100,900,qwen-vl-ocr,"12 - A500C L= 4210 | 8 - A240 L= 1380 | 8 - A240 L= 370 | 12 - A500C L= 1220 | 12 - A500C L= 1650 | 12 - A500C L= 1150 | 12 - A500C L= 5300 | 16 - A500C L= 1210 | 12 - A500C L= 610","","","No text found"
"page01_tile0021_x08849_y00900.png",8849,900,qwen-vl-ocr,"","","",""
"page01_tile0022_x00000_y01800.png",0,1800,qwen-vl-ocr,"5360 | 17x200=3400 | 1,2,8","","","No text found"
"page01_tile0023_x00900_y01800.png",900,1800,qwen-vl-ocr,"8 | 6 | 7 | 1","","",""
"page01_tile0024_x01800_y01800.png",1800,1800,qwen-vl-ocr,"40 | 3","","",""
"page01_tile0025_x02700_y01800.png",2700,1800,qwen-vl-ocr,"1 | 3 шт. | 4 | шаг 200 | 3 | шаг 200 | Подготовк | Бетон В7,5 | 300 | 1850 | 13 | БФМ | 14 | 15 | 220 | 50 | 3x200=600 | 2110 | 4 | 115 | 115 | 10","100","","No text found"
"page01_tile0026_x03600_y01800.png",3600,1800,qwen-vl-ocr,"100 | ОТОВКА | Н В7,5 | 3 | 14 | ФМ17 | 2110 | 4x200=800 | 100 | 75 | 40 | B | A","-1,700","","No text found"
"page01_tile0027_x04500_y01800.png",4500,1800,qwen-vl-ocr,"180 | 240 | 50 | 250 | 50 | 180 | 240 | 10 (13) | 9 (12) | 1550 | no1","","","No text found"
"page01_tile0028_x05400_y01800.png",5400,1800,qwen-vl-ocr,"5 | 9 | 12 | A","","","No text found"
"page01_tile0029_x06300_y01800.png",6300,1800,qwen-vl-ocr,"500 | 500 | 730 | 240 | 240 | 1480 | 240 | 240 | 1390","","","No text found"
"page01_tile0030_x07200_y01800.png",7200,1800,qwen-vl-ocr,"10 ГОСТ 34028-2016 | 11 ГОСТ 34028-2016 | 12* ГОСТ 34028-2016 | 13 ГОСТ 34028-2016 | 23* ГОСТ 34028-2016 | ГОСТ 26633-2015 | ГОСТ 26633-2015","","","No text found"
"page01_tile0031_x08100_y01800.png",8100,1800,qwen-vl-ocr,"12 - A500C | 12 - A500C | 16 - A500C | 12 - A500C | 12 - A500C | Материалы | Бетон В25, W6, F150 | Бетон В7,5","610 | 1550 | 1960 | 1360 | 1190 | 3 | 3","","No text found"
"page01_tile0032_x08849_y01800.png",8849,1800,qwen-vl-ocr,"L= 610 4 0,54 | L= 1550 20 1,38 | L= 1960 5 3,09 | L= 1360 4 1,21 | L= 1190 30 1,06 | M³ 3,85 | M³ 0,26 | подготовка","","",""
"page01_tile0033_x00000_y02700.png",0,2700,qwen-vl-ocr,"175 | 100 | 50 | 20 | 140 | 140 | 23 | 5 шт. | 4,","40 | 175 | 100 | 50 | 20 | 140 | 140","",""
"page01_tile0034_x00900_y02700.png",900,2700,qwen-vl-ocr,"40 | 40 | 23 | 5 шт. | 4,5 | 3 | 110 | 120 | 50 | 11,12,13 | 100 | 150 | 3x200=600 | 100 | 150 | 180 | 50 | 7 | 6 | 1 | 40 | 40 | 10","40 | 40 | 23 | 5 шт. | 4,5 | 3 | 110 | 120 | 50 | 11,12,13 | 100 | 150 | 3x200=600 | 180 | 50","",""
"page01_tile0035_x01800_y02700.png",1800,2700,qwen-vl-ocr,"40 | 4,5 | 3 | 40 | 23 | 10 шт. | 80 | 60","40 | 40","","No text found"
"page01_tile0036_x02700_y02700.png",2700,2700,qwen-vl-ocr,"50 | 3x200=600 | 115 | 115 | 10 | 1 | 3 | 7 | 6","4","","No text found"
"page01_tile0037_x03600_y02700.png",3600,2700,qwen-vl-ocr,"4x200=800 | 100 75 | 14,15,16,17 | 6 | 40 | 700 | 3,4,5 | 19 | 40 | 300 | 18 | 5400 | 1 | 18","40 | 75","","No text found"
"page01_tile0038_x04500_y02700.png",4500,2700,qwen-vl-ocr,"","","",""
"page01_tile0039_x05400_y02700.png",5400,2700,qwen-vl-ocr,"14 | 15 | 18","","",""
"page01_tile0040_x06300_y02700.png",6300,2700,qwen-vl-ocr,"240 | 1390 | 430 | 1370 | 430 | 430 | 20 | 580 | 20 | 1650","","","No text found"
"page01_tile0041_x07200_y02700.png",7200,2700,qwen-vl-ocr,"14* ГОСТ 34028-2016 | 15* ГОСТ 34028-2016 | 16 ГОСТ 34028-2016 | 3* ГОСТ 5781-82 | 4* ГОСТ 5781-82 | 5* ГОСТ 34028-2016 | 6 ГОСТ 34028-2016","","","No text found"
"page01_tile0042_x08100_y02700.png",8100,2700,qwen-vl-ocr,"БФМ17 | Детали | 16 - A500C L= 1630 | 16 - A500C L= 2230 | 12 - A500C L= 1330 | 8 - A240 L= 1380 | 8 - A240 L= 370 | 12 - A500C L= 1220 | 12 - A500C L= 1650","","","No text found"
"page01_tile0043_x08849_y02700.png",8849,2700,qwen-vl-ocr,"","","",""
"page01_tile0044_x00000_y03600.png",0,3600,qwen-vl-ocr,"","","",""
"page01_tile0045_x00900_y03600.png",900,3600,qwen-vl-ocr,"Разрез 3-3 | 50 | 3x200=600 | 1610 | 50 | по 1","1610","","No text found"
"page01_tile0046_x01800_y03600.png",1800,3600,qwen-vl-ocr,"","","",""
"page01_tile0047_x02700_y03600.png",2700,3600,qwen-vl-ocr,"7 | 6 | 4 | 100 | 80 | 17,20 | 50 | 100 | 7x200=1. | 2110","","","No text found"
"page01_tile0048_x03600_y03600.png",3600,3600,qwen-vl-ocr,"18 | 19 | 40 | 300 | 3,4,5 | 40 | 17,20,21,22 | 125 | 00=1400 | 40 | 2110 | no1","","",""
"page01_tile0049_x04500_y03600.png",4500,3600,qwen-vl-ocr,"5 | 4","","",""
"page01_tile0050_x05400_y03600.png",5400,3600,qwen-vl-ocr,"18 | 19 | 20","","",""
"page01_tile0051_x06300_y03600.png",6300,3600,qwen-vl-ocr,"500 | 20 | 500 | 1650 | 20 | 1650 | 580 | 2040 | 240","1650 | 580","","No text found"
"page01_tile0052_x07200_y03600.png",7200,3600,qwen-vl-ocr,"6 ГОСТ 34028-2016 | 7 ГОСТ 34028-2016 | 17 ГОСТ 34028-2016 | 18* ГОСТ 34028-2016 | 19* ГОСТ 34028-2016 | 20* ГОСТ 34028-2016 | 21* ГОСТ 34028-2016 | 22 ГОСТ 34028-2016 | 23* ГОСТ 34028-2016","","","No text found"
"page01_tile0053_x08100_y03600.png",8100,3600,qwen-vl-ocr,"12 - A500C L= 1650 | 12 - A500C L= 1150 | 12 - A500C L= 2050 | 12 - A500C L= 2760 | 12 - A500C L= 2760 | 16 - A500C L= 2280 | 16 - A500C L= 2880 | 12 - A500C L= 1980 | 12 - A500C L= 1190","","","No text found"
"page01_tile0054_x08849_y03600.png",8849,3600,qwen-vl-ocr,"","","",""
"page01_tile0055_x00000_y04500.png",0,4500,qwen-vl-ocr,"50 | 115 | 0,000 | 200 | 280 | 280 | 280","","",""
"page01_tile0056_x00900_y04500.png",900,4500,qwen-vl-ocr,"Разрез 3-3 | 1 | 17 | 10 шт. | 2110 | 115 | 3x200=600 | 115 | 4x200=800 | 100","","","No text found"
"page01_tile0057_x01800_y04500.png",1800,4500,qwen-vl-ocr,"18 | 2 шт. | 19 | 2 шт. | 75 | 40 | 23 | 10 шт. | 0,00 | 6","17 | 0","","No text found"
"page01_tile0058_x02700_y04500.png",2700,4500,qwen-vl-ocr,"0,000 | 200 | 280 | 280 | 50 | 100,100 | 80 | 7 | Pa","","",""
"page01_tile0059_x03600_y04500.png",3600,4500,qwen-vl-ocr,"Разрез 4-4 | 1 | 2110 | 7x200=1400 | 17 | 10 шт. | 18 | 2 шт. | 125 | 40 | 1 | 2 | 10","","","No text found"
"page01_tile0060_x04500_y04500.png",4500,4500,qwen-vl-ocr,"19 | 2 шт. | 23 | 10 шт.","","",""
"page01_tile0061_x05400_y04500.png",5400,4500,qwen-vl-ocr,"21 | 23","","",""
"page01_tile0062_x06300_y04500.png",6300,4500,qwen-vl-ocr,"","","",""
"page01_tile0063_x07200_y04500.png",7200,4500,qwen-vl-ocr,"Поз. с знаком "*" смотри вед | 1. Общие указания даны н | 2. Схема расположения фу | 3. Защитный слой армату | 23* ГОСТ 34028-2016 | ГОСТ 26633-2015 | ГОСТ 26633-2015","","",""
"page01_tile0064_x08100_y04500.png",8100,4500,qwen-vl-ocr,"Материалы | Бетон В25, W6, F150 | Бетон В7,5 | ведомость деталей | ны на листе 1. | я фундаментных балок см. лист 5. | атуры 40 мм.","","",""
"page01_tile0065_x08849_y04500.png",8849,4500,qwen-vl-ocr,"L= 1190 | 20 | 1,06 | M³ 1,97 | M³ 0,16 | подготовка | 5.","","",""
"page01_tile0066_x00000_y05400.png",0,5400,qwen-vl-ocr,"Взам. инв. № | и дата | 77 НО9 2024","1700 | 1200 | 930 | 500 | 40 | 40 | 250 | 280 | 50 | -1,200 | -1,700","",""
"page01_tile0067_x00900_y05400.png",900,5400,qwen-vl-ocr,"180 | 240 | 50 | 4x200=800","","","No text found"
"page01_tile0068_x01800_y05400.png",1800,5400,qwen-vl-ocr,"6 | 7 | 50 | 3,4 | -1,20 | -1,70 | 800 | 110 100 | 100","","",""
"page01_tile0069_x02700_y05400.png",2700,5400,qwen-vl-ocr,"1700 | 1200 | 280 | 250 | 280 | 50 | 40 | 40 | 500 | 180 | 240 | 50 | -1,200 | -1,700","280 | 250 | 180 | 50","",""
"page01_tile0070_x03600_y05400.png",3600,5400,qwen-vl-ocr,"7x200=1400 | 130 130, 100 | 6 | 7 | 50","","","No text found"
